Country,Code,geom,lang
Argentina,ar,Argentina,es
Australia,au,Australia,es
Austria,at,Austria,es
Belgium,be,Belgium,es
Brazil,bz,Brazil,es
Bulgaria,bg,Bulgaria,es
Canada,ca,Canada,es
China,cn,China,es
Colombia,Code,Colombia,es
Cuba,cu,Cuba,es
Czech Republic,cz,Czech Republic,es
Egypt,eg,Egypt,es
France,gr,France,es
Germany,de,Germany,es
Greece,gr,Greece,es
Hong Kong,hk,China,es
Hungary,hu,Hungary,es
India,in,India,es
Indonesia,id,Indonesia,es
Ireland,ie,Ireland,es
Israel,il,Israel,es
Italy,it,Italy,es
Japan,jp,Japan,es
Latvia,lv,Latvia,es
Lithuania,lt,Lithuania,es
Malaysia,my,Malaysia,es
Mexico,mx,Mexico,es
Morocco,ma,Morocco,es
Netherlands,nl,Netherlands,es
New Zealand,nz,New Zealand,es
Nigeria,ng,Nigeria,es
Norway,no,Norway,es
Philippines,ph,Philippines,es
Poland,pl,Poland,es
Portugal,pt,Portugal,es
Romania,ro,Romania,es
Russia,ru,Russia,es
Saudi Arabia,sa,Saudi Arabia,es
Serbia,rs,Russia,es
Singapore,sg,Malaysia,es
Slovakia,sk,Slovakia,es
Slovenia,si,Slovenia,es
South Africa,za,South Africa,es
South Korea,kr,South Korea,es
Sweden,se,Sweden,es
Switzerland,ch,Switzerland,es
Taiwan,tw,Taiwan,es
Thailand,th,Thailand,es
Turkey,tr,Turkey,es
UAE,ae,United Arab Emirates,es
Ukraine,au,Ukraine,es
United Kingdom,gb,United Kingdom,es
United States,us,United States of America,es
Venuzuela,ve,Venezuela,es
